ItemID,WorldID,HQStatus,AvgPrice,SalesVelocity,MinPrice,Timestamp
10,40,NQ,55,85490,77,2024-09-04T17:50:02.629Z
10,40,HQ,,,,2024-09-04T17:50:02.924Z
10,54,NQ,51,66315,49,2024-09-04T17:50:02.421Z
10,54,HQ,,,,2024-09-04T17:50:02.673Z
10,57,NQ,,,,2024-09-04T17:50:02.294Z
10,57,HQ,,,,2024-09-04T17:50:02.313Z
44000,40,NQ,1713,220,911,2024-09-04T17:48:50.778Z
44000,40,HQ,6888,19,1998,2024-09-04T17:48:51.192Z
44000,54,NQ,1596,187,1789,2024-09-04T17:48:50.817Z
44000,54,HQ,3442,49,2750,2024-09-04T17:48:51.277Z
44000,57,NQ,1473,148,,2024-09-04T17:48:50.685Z
44000,57,HQ,1473,148,1600,2024-09-04T17:48:51.056Z
